Borrower_ID,Age,Gender,Employment_Type,Monthly_Income,Num_Dependents,Loan_ID,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Payment_History,Num_Missed_Payments,Days_Past_Due,Recovery_Status,Collection_Attempts,Collection_Method,Legal_Action_Taken
BRW_81,33,Female,Self-Employed,154153,1,LN_81,1005205,13,13.914230407120115,2444913,762922,23211,Delayed,0,103,Fully Recovered,8,Calls,No
BRW_82,42,Male,Self-Employed,185268,2,LN_82,424743,53,13.965895217703515,2310634,925337,30480,On-Time,7,126,Not Recovered,8,Legal Notice,No
BRW_83,59,Male,Business,187807,4,LN_83,75939,65,11.953107322146785,795911,510790,48780,On-Time,3,54,Fully Recovered,2,Emails,No
BRW_84,40,Female,Business,100102,2,LN_84,1016649,27,12.842204459712804,599649,47013,25846,Delayed,4,0,Not Recovered,7,Emails,No
BRW_85,35,Female,Business,176570,0,LN_85,987828,29,15.202894328252661,1725240,641629,43503,Delayed,5,89,Fully Recovered,3,Legal Notice,Yes
BRW_86,64,Female,Salaried,96865,3,LN_86,1252515,70,16.0853501102311,428910,914217,47193,Delayed,7,155,Partially Recovered,2,Calls,No
BRW_87,37,Male,Self-Employed,182728,2,LN_87,836635,27,14.662175423584507,81171,718980,49466,Delayed,7,52,Partially Recovered,0,Legal Notice,Yes
BRW_88,66,Female,Salaried,87695,4,LN_88,984048,17,17.164802877302513,2473447,146826,16321,Missed,6,72,Fully Recovered,4,Emails,No
BRW_89,43,Female,Salaried,188972,0,LN_89,983403,68,16.02356496961921,2183448,631872,13646,On-Time,3,107,Partially Recovered,3,Calls,No
BRW_90,45,Female,Business,137235,1,LN_90,1914071,58,13.180501687904703,1189138,78113,23117,Missed,5,149,Partially Recovered,0,Debt Collectors,Yes
BRW_91,44,Male,Salaried,198773,1,LN_91,1713744,59,14.385466799081104,2249476,489847,5893,Delayed,3,7,Partially Recovered,9,Settlement Offer,Yes
BRW_92,64,Male,Business,128777,4,LN_92,578036,53,17.189391046133156,2338687,873216,10476,Missed,6,176,Not Recovered,7,Legal Notice,Yes
BRW_93,60,Male,Self-Employed,39033,0,LN_93,1334670,71,13.810848486673642,1380679,35282,18270,Missed,0,41,Fully Recovered,7,Emails,Yes
BRW_94,48,Male,Business,161877,3,LN_94,1477989,15,16.072876427778137,1452242,167809,22702,On-Time,4,154,Fully Recovered,7,Calls,No
BRW_95,34,Male,Salaried,186923,2,LN_95,917196,13,14.576915539489857,783258,511188,5382,Missed,9,166,Fully Recovered,2,Calls,Yes
BRW_96,64,Male,Salaried,46832,0,LN_96,1250532,70,13.07129997166513,1896999,490643,2785,On-Time,9,24,Partially Recovered,5,Debt Collectors,No
BRW_97,20,Male,Business,135725,1,LN_97,1254831,38,9.660220149568884,1220575,286268,46798,Delayed,3,37,Not Recovered,6,Legal Notice,No
BRW_98,44,Male,Business,165016,4,LN_98,1049074,38,11.685972714152708,1360573,856534,12735,Missed,6,84,Fully Recovered,8,Calls,No
BRW_99,26,Female,Salaried,39873,4,LN_99,514462,83,17.64517107317087,1877887,395412,31177,Delayed,8,151,Partially Recovered,4,Debt Collectors,Yes
BRW_100,28,Female,Self-Employed,60372,2,LN_100,944468,18,14.2354192159986,1761201,847959,31712,On-Time,4,23,Not Recovered,8,Emails,Yes
BRW_101,43,Male,Self-Employed,109464,4,LN_101,724619,74,13.208349183728885,2337180,392515,17679,Delayed,3,59,Not Recovered,5,Debt Collectors,Yes
BRW_102,20,Male,Business,166451,4,LN_102,1789895,57,17.2625228808105,1400507,917374,44013,Delayed,8,177,Fully Recovered,9,Legal Notice,No
BRW_103,63,Female,Self-Employed,137322,0,LN_103,952957,74,13.451629591411937,1265832,96651,36365,On-Time,4,110,Fully Recovered,9,Debt Collectors,Yes
BRW_104,27,Male,Salaried,187823,3,LN_104,1525249,23,12.786907702591432,40736,246549,18064,Delayed,8,65,Partially Recovered,9,Calls,Yes
BRW_105,43,Male,Business,120082,2,LN_105,397823,24,15.352419406652258,1335250,85395,31563,Delayed,7,141,Fully Recovered,3,Calls,No
BRW_106,30,Male,Salaried,25110,0,LN_106,1224405,54,14.839321808851988,209124,535633,34092,Delayed,3,52,Partially Recovered,0,Settlement Offer,Yes
BRW_107,36,Female,Salaried,32087,3,LN_107,1226792,28,9.12476009249276,388742,910976,48928,Missed,6,159,Not Recovered,0,Debt Collectors,No
BRW_108,27,Female,Self-Employed,174834,0,LN_108,1688765,74,12.184391020315333,2321945,820509,27867,Delayed,4,105,Not Recovered,9,Emails,Yes
BRW_109,54,Female,Business,102617,0,LN_109,1866250,47,12.197669871015439,642911,392573,46382,On-Time,9,95,Not Recovered,4,Legal Notice,Yes
BRW_110,54,Female,Business,120483,4,LN_110,225607,19,11.160469667676793,676935,721760,34754,Missed,3,175,Not Recovered,2,Settlement Offer,Yes
BRW_111,52,Female,Self-Employed,29596,3,LN_111,459319,80,12.690228303674784,1685124,536343,20502,Missed,4,38,Fully Recovered,4,Debt Collectors,Yes
BRW_112,24,Male,Salaried,127539,2,LN_112,1720910,47,11.544181374998587,432859,365837,1760,On-Time,4,167,Fully Recovered,4,Emails,Yes
BRW_113,61,Female,Salaried,38313,2,LN_113,402156,39,9.192800384183014,401072,85283,25142,Delayed,8,41,Partially Recovered,0,Settlement Offer,No
BRW_114,58,Male,Salaried,133175,3,LN_114,1701142,58,11.536031360021491,2095637,44484,45653,Missed,8,110,Partially Recovered,7,Calls,Yes
BRW_115,60,Male,Salaried,134914,4,LN_115,324535,41,7.795046423304942,1387168,601802,42996,Missed,5,103,Partially Recovered,4,Legal Notice,Yes
BRW_116,47,Female,Business,43705,1,LN_116,1201052,34,13.333644490518527,956010,90135,18290,Missed,3,76,Partially Recovered,4,Debt Collectors,Yes
BRW_117,26,Female,Business,93445,0,LN_117,996405,27,16.390200038352233,743264,297915,6499,Delayed,1,7,Partially Recovered,8,Emails,Yes
BRW_118,28,Male,Self-Employed,123892,4,LN_118,432865,25,14.978157927900106,665329,505694,1364,Missed,2,25,Not Recovered,7,Calls,Yes
BRW_119,27,Male,Self-Employed,22023,3,LN_119,671825,82,10.964334440595223,274548,188726,20797,On-Time,1,139,Not Recovered,0,Settlement Offer,Yes
BRW_120,31,Male,Business,139654,0,LN_120,1966167,63,7.95778326135039,1477775,439756,41795,Delayed,4,42,Not Recovered,2,Legal Notice,Yes
BRW_121,53,Female,Business,100073,2,LN_121,967472,48,9.223643391477978,2267686,214223,33535,On-Time,5,178,Partially Recovered,6,Settlement Offer,No
BRW_122,52,Female,Salaried,112197,1,LN_122,231429,40,13.000393745443192,2378656,896716,47300,On-Time,4,109,Not Recovered,0,Settlement Offer,No
BRW_123,67,Female,Salaried,84429,2,LN_123,1316556,78,9.277627917213362,419503,117399,48176,Missed,1,99,Not Recovered,0,Emails,Yes
BRW_124,42,Female,Self-Employed,124195,3,LN_124,1602127,26,12.983704224134643,2293696,891317,17105,Missed,4,62,Not Recovered,4,Calls,No
BRW_125,43,Female,Business,53848,0,LN_125,871935,58,9.547589272402888,1812901,515609,8939,Missed,8,48,Not Recovered,8,Debt Collectors,Yes
BRW_126,56,Male,Self-Employed,188876,3,LN_126,1585251,57,16.3381625642368,158253,946881,14936,On-Time,3,114,Fully Recovered,5,Emails,No
BRW_127,54,Female,Business,166451,0,LN_127,1173979,63,11.369986201245057,669745,180645,43029,Delayed,9,154,Partially Recovered,9,Legal Notice,Yes
BRW_128,63,Male,Salaried,47766,4,LN_128,638574,30,9.701056885389402,1659537,698093,16863,Missed,1,136,Partially Recovered,1,Settlement Offer,Yes
BRW_129,59,Male,Self-Employed,88099,1,LN_129,386986,32,15.935587982717678,1279898,129344,13561,Missed,2,166,Fully Recovered,8,Legal Notice,No
BRW_130,41,Male,Self-Employed,187132,4,LN_130,154927,75,10.771228612859957,2364840,142832,11447,On-Time,2,64,Not Recovered,5,Emails,Yes
BRW_131,46,Female,Business,89122,4,LN_131,1899916,48,8.226364566226602,771143,637514,31624,Delayed,8,70,Not Recovered,4,Emails,No
BRW_132,54,Female,Salaried,167159,3,LN_132,535833,38,13.274504405440059,296694,623538,47940,On-Time,3,6,Not Recovered,4,Debt Collectors,Yes
BRW_133,20,Female,Self-Employed,68868,1,LN_133,1542418,66,13.397206248817877,1461433,287906,45646,Missed,0,79,Partially Recovered,2,Settlement Offer,Yes
BRW_134,54,Male,Salaried,139119,0,LN_134,349372,40,14.861652427593075,1915029,182058,13411,On-Time,0,66,Partially Recovered,5,Emails,Yes
BRW_135,56,Male,Self-Employed,174297,0,LN_135,73386,31,9.642413765292241,1326325,689692,20465,Missed,6,137,Partially Recovered,3,Legal Notice,Yes
BRW_136,66,Male,Salaried,115286,2,LN_136,1276402,36,11.881484730014696,496389,171172,39216,Delayed,6,100,Partially Recovered,9,Debt Collectors,No
BRW_137,33,Male,Business,26643,0,LN_137,1602734,81,10.10604710946922,2147865,136016,20642,On-Time,1,94,Partially Recovered,1,Legal Notice,Yes
BRW_138,22,Male,Self-Employed,56727,3,LN_138,1389022,74,7.8904910972725695,1386123,48825,32262,Missed,8,86,Fully Recovered,2,Settlement Offer,No
BRW_139,20,Male,Self-Employed,162077,4,LN_139,1421535,47,16.642752097174807,1576845,13877,31363,Missed,8,90,Partially Recovered,8,Debt Collectors,No
BRW_140,24,Female,Salaried,129079,4,LN_140,302156,13,15.017567849371753,988722,423206,3107,Missed,4,102,Not Recovered,8,Debt Collectors,Yes
BRW_141,45,Female,Salaried,85697,4,LN_141,1052252,33,10.316093654046808,2037398,129065,8928,Missed,2,125,Partially Recovered,5,Debt Collectors,Yes
BRW_142,33,Female,Self-Employed,36029,1,LN_142,899776,27,13.59310292159185,1950639,632731,49002,On-Time,2,154,Fully Recovered,9,Calls,No
BRW_143,58,Female,Business,165298,0,LN_143,1003122,29,9.213901669479197,95335,361756,20317,Missed,2,112,Not Recovered,9,Debt Collectors,No
BRW_144,46,Male,Salaried,179803,3,LN_144,1996611,80,16.792602839753478,2204593,117674,26017,On-Time,5,3,Fully Recovered,8,Legal Notice,Yes
BRW_145,28,Male,Salaried,129458,1,LN_145,519450,65,8.263969776981014,1065560,115074,14528,Missed,3,87,Not Recovered,3,Legal Notice,No
BRW_146,34,Female,Salaried,130384,2,LN_146,373258,41,7.04220860058581,91656,972787,14313,On-Time,7,150,Partially Recovered,4,Settlement Offer,No
BRW_147,34,Male,Self-Employed,88926,3,LN_147,298724,56,12.522090175131003,2162766,517257,2559,On-Time,4,175,Fully Recovered,9,Emails,No
BRW_148,45,Female,Self-Employed,157069,3,LN_148,251202,30,13.414406057981562,2264115,396474,16167,Missed,0,169,Not Recovered,5,Emails,Yes
BRW_149,61,Female,Self-Employed,75506,3,LN_149,1124101,45,13.368618523253847,353153,251881,16343,Missed,8,2,Partially Recovered,8,Calls,No
BRW_150,32,Female,Self-Employed,98229,4,LN_150,1178394,24,7.59963120181609,1979442,31629,39598,Missed,0,90,Not Recovered,4,Debt Collectors,No
BRW_151,51,Male,Business,62092,3,LN_151,164589,54,10.454481876102758,987938,955083,8523,Missed,5,2,Fully Recovered,7,Calls,No
BRW_152,58,Female,Business,82539,0,LN_152,1243982,73,12.49118841525465,936066,154030,29439,Delayed,0,155,Fully Recovered,0,Settlement Offer,No
BRW_153,68,Female,Self-Employed,172889,3,LN_153,669003,33,9.382371041899649,982014,432681,16524,Missed,2,80,Fully Recovered,4,Settlement Offer,Yes
BRW_154,51,Female,Business,188933,4,LN_154,243839,63,16.59888474034486,862839,802207,14285,Missed,9,158,Fully Recovered,9,Emails,Yes
BRW_155,23,Male,Salaried,33428,3,LN_155,843076,63,7.958202184075774,1682245,469791,11973,Missed,4,137,Partially Recovered,0,Settlement Offer,No
BRW_156,49,Male,Salaried,195006,2,LN_156,413298,47,12.361228858392472,1534710,487849,23694,On-Time,9,176,Not Recovered,9,Debt Collectors,No
BRW_157,56,Female,Salaried,161330,2,LN_157,556453,30,14.605576632644674,1064367,689567,36774,Missed,6,93,Partially Recovered,5,Legal Notice,No
BRW_158,42,Male,Self-Employed,77775,4,LN_158,1000437,49,9.879262101479307,1106623,415769,5302,On-Time,9,125,Fully Recovered,6,Settlement Offer,Yes
BRW_159,58,Male,Salaried,25469,0,LN_159,307438,81,13.8666481069727,234898,971136,23391,On-Time,7,112,Not Recovered,4,Calls,Yes
BRW_160,64,Male,Business,48854,0,LN_160,879901,68,16.12323665156612,461122,262199,5611,On-Time,8,148,Fully Recovered,0,Debt Collectors,No
BRW_161,34,Male,Self-Employed,157328,1,LN_161,476903,31,9.093706726045523,675025,773372,10372,On-Time,5,99,Partially Recovered,5,Settlement Offer,No
BRW_162,62,Male,Business,96256,4,LN_162,943041,20,17.08942651007349,70246,88697,25312,Delayed,8,52,Partially Recovered,9,Settlement Offer,Yes
BRW_163,48,Male,Salaried,185009,3,LN_163,495872,43,13.089143859285938,1283531,688233,15080,Missed,7,86,Partially Recovered,4,Debt Collectors,No
BRW_164,55,Male,Salaried,119134,4,LN_164,460591,15,10.291552047311665,2445444,101505,16082,On-Time,8,88,Not Recovered,5,Settlement Offer,No
BRW_165,32,Male,Salaried,152723,1,LN_165,1605811,61,11.73944102920498,1448586,342864,48409,Missed,9,53,Not Recovered,9,Legal Notice,Yes
BRW_166,51,Male,Self-Employed,104730,4,LN_166,1612527,16,10.434110721650267,1605752,721565,43861,On-Time,3,19,Fully Recovered,6,Emails,Yes
BRW_167,26,Male,Business,176123,4,LN_167,1425926,31,14.976222759266477,570819,864631,31677,Delayed,8,112,Not Recovered,6,Debt Collectors,Yes
BRW_168,41,Female,Self-Employed,47386,1,LN_168,932894,48,15.759307297566455,1950660,156390,21874,On-Time,6,48,Not Recovered,1,Calls,Yes
BRW_169,47,Female,Self-Employed,167256,0,LN_169,1790543,33,16.16231131550527,807040,33734,9378,Missed,4,134,Partially Recovered,2,Settlement Offer,Yes
BRW_170,21,Male,Salaried,53787,3,LN_170,1706042,69,17.843450745443153,2440282,213299,2597,Missed,4,28,Fully Recovered,5,Emails,No
BRW_171,61,Female,Self-Employed,41621,1,LN_171,1798322,79,15.704127217463519,1037886,673882,12600,Delayed,0,47,Partially Recovered,2,Calls,Yes
BRW_172,64,Female,Self-Employed,97984,2,LN_172,1877330,55,13.615224777574197,2443292,142728,4747,Missed,1,12,Fully Recovered,1,Calls,Yes
BRW_173,25,Male,Salaried,196325,0,LN_173,489503,45,10.731423282309622,2154828,671253,14879,Missed,9,2,Fully Recovered,3,Legal Notice,Yes
BRW_174,47,Male,Self-Employed,54051,2,LN_174,1185300,53,12.990549935818244,1584424,504609,14017,On-Time,2,1,Not Recovered,4,Emails,Yes
BRW_175,47,Male,Salaried,69811,0,LN_175,803492,20,7.45174990069446,1099044,802925,25815,Missed,7,15,Partially Recovered,9,Debt Collectors,Yes
BRW_176,63,Female,Salaried,50447,3,LN_176,146393,18,15.193075830829043,1033388,396848,19964,On-Time,5,93,Not Recovered,8,Emails,Yes
BRW_177,63,Female,Salaried,148046,3,LN_177,1699176,79,11.90551099601312,451989,620160,29812,Delayed,9,101,Not Recovered,2,Emails,No
